word,counts,proportion
Salt,72,0.4090909090909091
Eggs,41,0.23295454545454544
Butter,39,0.2215909090909091
Sugar,37,0.21022727272727273
Water,29,0.16477272727272727
Olive Oil,28,0.1590909090909091
Milk,21,0.11931818181818182
Cinnamon,18,0.10227272727272728
Egg,17,0.09659090909090909
Vanilla Extract,17,0.09659090909090909
