url,name,ingredients
https://celiac.org/marketplace/recipe/blt-chopped-salad/,BLT Chopped Salad,Apple Cider Vinegar
https://celiac.org/marketplace/recipe/blt-chopped-salad/,BLT Chopped Salad,Lime
https://celiac.org/marketplace/recipe/blt-chopped-salad/,BLT Chopped Salad,Lime Juice
https://celiac.org/marketplace/recipe/blt-chopped-salad/,BLT Chopped Salad,Sugar
https://celiac.org/marketplace/recipe/blueberry-corn-muffin-bites/,Blueberry Corn Muffin Bites,Flour
https://celiac.org/marketplace/recipe/blueberry-corn-muffin-bites/,Blueberry Corn Muffin Bites,Cornmeal
https://celiac.org/marketplace/recipe/blueberry-corn-muffin-bites/,Blueberry Corn Muffin Bites,Baking Powder
https://celiac.org/marketplace/recipe/blueberry-corn-muffin-bites/,Blueberry Corn Muffin Bites,Brown Sugar
https://celiac.org/marketplace/recipe/blueberry-corn-muffin-bites/,Blueberry Corn Muffin Bites,Salt
https://celiac.org/marketplace/recipe/blueberry-corn-muffin-bites/,Blueberry Corn Muffin Bites,Vanilla Soy 
https://celiac.org/marketplace/recipe/blueberry-corn-muffin-bites/,Blueberry Corn Muffin Bites,Pecans
https://celiac.org/marketplace/recipe/blueberry-corn-muffin-bites/,Blueberry Corn Muffin Bites,Egg
https://celiac.org/marketplace/recipe/blueberry-corn-muffin-bites/,Blueberry Corn Muffin Bites,Vegetable 
https://celiac.org/marketplace/recipe/blueberry-corn-muffin-bites/,Blueberry Corn Muffin Bites,Blueberries
https://celiac.org/marketplace/recipe/blueberry-lemon-bars/,Blueberry Lemon Bars,Flour
https://celiac.org/marketplace/recipe/blueberry-lemon-bars/,Blueberry Lemon Bars,Xanthan Gum
https://celiac.org/marketplace/recipe/blueberry-lemon-bars/,Blueberry Lemon Bars,Sugar
https://celiac.org/marketplace/recipe/blueberry-lemon-bars/,Blueberry Lemon Bars,Salt
https://celiac.org/marketplace/recipe/blueberry-lemon-bars/,Blueberry Lemon Bars,Coconut
https://celiac.org/marketplace/recipe/blueberry-lemon-bars/,Blueberry Lemon Bars,Sugar Cookies
https://celiac.org/marketplace/recipe/blueberry-lemon-bars/,Blueberry Lemon Bars,Butter
https://celiac.org/marketplace/recipe/blueberry-lemon-bars/,Blueberry Lemon Bars,Eggs
https://celiac.org/marketplace/recipe/blueberry-lemon-bars/,Blueberry Lemon Bars,Lemon Zest
https://celiac.org/marketplace/recipe/blueberry-lemon-bars/,Blueberry Lemon Bars,Lemon Juice
https://celiac.org/marketplace/recipe/blueberry-lemon-bars/,Blueberry Lemon Bars,Baking Powder
https://celiac.org/marketplace/recipe/blueberry-lemon-bars/,Blueberry Lemon Bars,Blueberries
https://celiac.org/marketplace/recipe/breakfast-casserole/,Breakfast Casserole,Sausage
https://celiac.org/marketplace/recipe/breakfast-casserole/,Breakfast Casserole,Onions
https://celiac.org/marketplace/recipe/breakfast-casserole/,Breakfast Casserole,Bread
https://celiac.org/marketplace/recipe/breakfast-casserole/,Breakfast Casserole,Bread Mix
https://celiac.org/marketplace/recipe/breakfast-casserole/,Breakfast Casserole,Mustard Powder
https://celiac.org/marketplace/recipe/breakfast-casserole/,Breakfast Casserole,Eggs
https://celiac.org/marketplace/recipe/breakfast-casserole/,Breakfast Casserole,Milk
https://celiac.org/marketplace/recipe/breakfast-casserole/,Breakfast Casserole,Cheddar Cheese
https://celiac.org/marketplace/recipe/breakfast-chili/,Breakfast Chili,Sausage Patties
https://celiac.org/marketplace/recipe/breakfast-chili/,Breakfast Chili,Salsa
https://celiac.org/marketplace/recipe/breakfast-chili/,Breakfast Chili,Water
https://celiac.org/marketplace/recipe/breakfast-chili/,Breakfast Chili,Cumin
https://celiac.org/marketplace/recipe/breakfast-chili/,Breakfast Chili,Coriander
https://celiac.org/marketplace/recipe/breakfast-chili/,Breakfast Chili,Chili Powder
https://celiac.org/marketplace/recipe/breakfast-pizza/,Breakfast Pizza,Hash Browns
https://celiac.org/marketplace/recipe/breakfast-pizza/,Breakfast Pizza,Egg
https://celiac.org/marketplace/recipe/breakfast-pizza/,Breakfast Pizza,Butter
https://celiac.org/marketplace/recipe/breakfast-pizza/,Breakfast Pizza,Salt
https://celiac.org/marketplace/recipe/breakfast-pizza/,Breakfast Pizza,Pepper
https://celiac.org/marketplace/recipe/breakfast-pizza/,Breakfast Pizza,Eggs
https://celiac.org/marketplace/recipe/breakfast-pizza/,Breakfast Pizza,Milk
